Model,Accuracy,Precision,Recall,F1-Score,ROC AUC
Baseline,0.43333333333333335,0.4375,0.8115942028985508,0.5685279187817259,0.4707461084272679
L2 + Dropout,0.49333333333333335,0.4639175257731959,0.6521739130434783,0.5421686746987951,0.43889783503310076
RMSprop + L1,0.54,0.0,0.0,0.0,0.4783503310073359
L1/L2 + Early Stopping,0.52,0.46808510638297873,0.3188405797101449,0.3793103448275862,0.5233494363929148
